id;date;access_typee;description
1;2020-03-22T02:16:33;IN;../fake-data/blob/hipster.txt
2;2020-03-22T02:40:11;IN;../fake-data/blob/hipster.txt
3;2020-03-22T06:46:04;IN;../fake-data/blob/hipster.txt
4;2020-03-21T21:49:11;OUT;../fake-data/blob/hipster.txt
5;2020-03-22T07:13:09;IN;../fake-data/blob/hipster.txt
6;2020-03-22T02:17:50;IN;../fake-data/blob/hipster.txt
7;2020-03-21T19:53:46;OUT;../fake-data/blob/hipster.txt
8;2020-03-22T18:00:59;IN;../fake-data/blob/hipster.txt
9;2020-03-22T08:34:12;IN;../fake-data/blob/hipster.txt
10;2020-03-22T08:19:31;IN;../fake-data/blob/hipster.txt
